Ansökningsnummer;Personnr eller samordningsnr;Svenskt ID-begrepp;Förnamn;Efternamn;Födelsedatum;Kön;Mobil;Telefon;E-post;Gatuadress 1;Gatuadress 2;Postnummer;Ort;Land;Anteckning;Prio;Registrerad;Inlämnad;Inlämnad före sista ansökningsdag;Behörig;20-procentsregeln;Motivering till 20-procentsregeln;Inlämningsstatus;Antagningsstatus;Studieort;Erbjuden plats datum;Sista svarsdag;Svar;Plats förlorad datum;Antagen till andra utbildningar;Tackat ja till andra utbildningar;Studerande på andra utbildningar;Urvalsvärde;Utslagsvärde vid lika;Lottningsordning;Reservnr;1 § 1 p. Gymnasieexamen;Notering 1 § 1 p. Gymnasieexamen;1 § 2 p. Motsvarande gymnasieexamen;Notering 1 § 2 p. Motsvarande gymnasieexamen;1 § 3 p. Behörig i Norden;Notering 1 § 3 p. Behörig i Norden;1 § 4 p. Annan omständighet;Notering 1 § 4 p. Annan omständighet;2 § Kunskaper i svenska;Notering 2 § Kunskaper i svenska;Engelska 6;Notering Engelska 6;Matematik 2;Notering Matematik 2;Programmering 1;Notering Programmering 1;Urvalsprov;Notering Urvalsprov
1HCD1E2F;950310-4891;Personnummer;Hortense;Dingle;1980-10-23;Kvinna;8793084359;;hdinglej@comsenz.com;Testvägen 6;;12345;Gävle;Sverige;;1;2025-04-08 10:17:33;2025-04-08 10:23:15;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,846;;2;;Ja;;Nej;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;0,846;
ABCDEFG6;021023-8617;Personnummer;Dulciana;Grainger;1962-05-07;Man;1308653712;;dgraingerk@google.com.hk;Testvägen 2;;12345;Uppsala;Sverige;;1;2025-04-03 17:24:16;2025-04-03 17:33:42;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,821;;1;;Ja;;Nej;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;0,821;
AB5D1E2F;761207-7188;Personnummer;Faina;Lloyd;1971-07-04;Kvinna;4467858099;;flloydl@cafepress.com;Testvägen 4;;12345;Uppsala;Sverige;;1;2025-03-12 11:08:00;2025-04-02 20:21:23;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-07-06 02:53:06;;Inskriven;;0;0;0;;;6;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG7;851003-1741;Personnummer;Dall;Worshall;1971-07-02;Man;1886425350;;dworshallm@fema.gov;Testvägen 3;;12345;Iggesund;Sverige;;1;2025-02-26 10:28:58;2025-03-11 09:02:10;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-07-05 02:53:29;;Inskriven;;0;0;0;;;5;;;;Ja;;;;;;Ja;;Ja;;Ja;;Ja;;;
1HCD1E2F;830827-5938;Personnummer;Lavinie;Okker;1972-01-16;Man;4761059500;;lokkern@spotify.com;Testvägen 2;Testvägen 8;12345;Forsa;Sverige;;1;2025-08-13 17:15:06;2025-08-13 17:48:19;2025-08-13;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-08-14 09:48:51;;Inskriven;;0;0;0;;;1;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG7;440104-3763;Personnummer;Caren;McNicol;1987-03-18;Man;3872447203;;cmcnicolo@hubpages.com;Testvägen 6;;12345;Forsa;Sverige;;1;2025-04-16 10:12:23;2025-04-16 10:25:15;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,744;;1;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,744;
AB5D1E2F;950310-4892;Personnummer;Leanora;Hourstan;2005-12-11;Kvinna;5005182361;;lhourstanp@paypal.com;Testvägen 4;;12345;Sundsvall;Sverige;;1;2025-04-24 18:26:16;2025-04-30 14:41:59;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,538;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,538;
ABCDEFG8;021023-8618;Personnummer;Kelbee;Giff;1955-11-22;Man;2499691418;;kgiffq@wordpress.org;Testvägen 5;;12345;Sundsvall;Sverige;;1;2025-03-18 10:11:42;2025-03-18 10:51:34;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-06-25 03:00:30;;Inskriven;;0;0;0;0,487;;;;Ja;;Nej;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;0,487;
1HCD1E2F;761207-7189;Personnummer;Ambur;Waple;2007-01-17;Kvinna;7945979624;;awapler@xinhuanet.com;Testvägen 4;;12345;Hudiksvall;Sverige;;1;2025-02-03 21:16:24;2025-02-04 19:31:05;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;1;;;;Ja;;;;;;;;Ja;;Ja;Reell kompetens;Ja;;Ja;;1;
ABCDEFG8;851003-1742;Personnummer;Cort;Lancett;2025-10-08;Man;2199314967;4089976545;clancetts@sakura.ne.jp;Testvägen 7;;12345;Örnsköldsvik;Sverige;;1;2025-03-31 12:30:51;2025-03-31 13:08:47;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-06-25 03:00:30;;Inskriven;;0;0;0;0,359;;;;Ja;;Nej;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;0,359;
AB5D1E2F;830827-5939;Personnummer;Clarita;Tomaszewski;1960-08-13;Kvinna;8128813924;;ctomaszewskit@statcounter.com;Testvägen 7;Testvägen 1;12345;Delsbo;Sverige;;1;2025-05-12 11:09:30;2025-05-12 11:12:23;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,795;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,795;
ABCDEFG9;440104-3764;Personnummer;Cassandre;Ebbetts;2001-05-19;Man;1198285891;;cebbettsu@bing.com;Testvägen 4;;12345;Forsa;Sverige;;1;2025-05-07 11:39:34;2025-05-07 11:52:52;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,718;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,718;
1HCD1E2F;950310-4893;Personnummer;Sayer;Stores;2002-02-01;Man;7248208365;;sstoresv@dmoz.org;Testvägen 5;;12345;Uppsala;Sverige;;1;2025-02-03 17:08:04;2025-02-03 17:16:55;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,949;;2;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,949;
ABCDEFG9;021023-8619;Personnummer;Jedd;Jackett;1988-03-06;Kvinna;3056279678;;jjackettw@imdb.com;Testvägen 1;;12345;Gävle;Sverige;;1;2025-08-13 09:21:08;2025-08-13 09:24:10;2025-08-13;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-08-14 10:28:10;;Inskriven;;0;0;0;;;2;;Ja;;Ja;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;;
AB5D1E2F;761207-7190;Personnummer;Roxine;Stevings;2005-09-13;Man;1353317563;2805986703;rstevingsx@imdb.com;Testvägen 8;;12345;Örnsköldsvik;Sverige;;1;2025-03-31 11:11:01;2025-03-31 11:12:09;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,769;;;;Ja;;Nej;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;0,769;
ABCDEFG10;851003-1743;Personnummer;Spense;Lipyeat;2020-12-20;Man;1783401659;;slipyeaty@uol.com.br;Testvägen 7;;12345;Gävle;Sverige;;1;2025-03-13 09:29:51;2025-03-13 09:48:53;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,615;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,615;
1HCD1E2F;830827-5940;Personnummer;Vanny;Leipelt;1959-06-07;Man;3825721174;;vleipeltz@nymag.com;Testvägen 4;;12345;Forsa;Sverige;;1;2025-02-03 07:55:56;2025-02-03 08:13:45;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,949;;1;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,949;
ABCDEFG10;440104-3765;Personnummer;Egbert;O'Hare;1985-11-09;Kvinna;9314984899;;eohare10@github.io;Testvägen 7;;12345;Gävle;Sverige;;1;2025-03-28 17:58:45;2025-03-28 18:06:58;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,949;;4;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,949;
AB5D1E2F;950310-4894;Personnummer;Jerald;Bullan;1978-09-24;Man;8098111088;;jbullan11@hp.com;Testvägen 5;;12345;Gävle;Sverige;;1;2025-05-11 20:12:25;2025-05-11 20:23:20;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,949;;3;;;;Ja;;;;;;Ja;;Ja;;Ja;;Ja;;0,949;
ABCDEFG11;021023-8620;Personnummer;Carilyn;Dominicacci;2018-02-20;Kvinna;5884693608;2191233638;cdominicacci12@goo.ne.jp;Testvägen 5;;12345;Iggesund;Sverige;;1;2025-02-03 14:40:32;2025-02-25 07:20:46;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,641;;2;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,641;
1HCD1E2F;761207-7191;Personnummer;Graeme;Tythacott;1991-01-08;Kvinna;6598513815;;gtythacott13@goo.gl;Testvägen 4;Testvägen 5;12345;Delsbo;Sverige;;1;2025-09-17 11:30:13;2025-09-16 12:00:00;2025-09-16;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-09-17 11:40:03;;Inskriven;;0;0;0;;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG11;851003-1744;Personnummer;Brandyn;Scutching;1997-08-20;Man;1803512066;;bscutching14@engadget.com;Testvägen 8;;12345;Iggesund;Sverige;;1;2025-03-19 14:31:42;2025-03-19 14:36:24;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,923;;2;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,923;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
